Date,temp
20150101 17:00:00,24
20150101 17:30:00,24
20150101 18:00:00,23
20150101 18:30:00,23
20150101 19:00:00,23
20150101 19:30:00,23
20150101 20:00:00,23
20150101 20:30:00,23
20150101 21:00:00,23
20150101 22:00:00,23
20150101 22:30:00,23
20150101 23:00:00,23
20150101 23:30:00,23
20150102 00:00:00,23
20150102 00:30:00,24
20150102 01:00:00,24
20150102 01:30:00,24
20150102 02:00:00,25
20150102 02:30:00,26
20150102 03:00:00,27
20150102 03:30:00,27
20150102 04:00:00,28
20150102 04:30:00,27
20150102 05:00:00,29
20150102 05:30:00,30
20150102 06:00:00,28
20150102 06:30:00,28
20150102 07:00:00,28
20150102 07:30:00,27
20150102 08:00:00,26
20150102 08:30:00,26
20150102 09:00:00,25
20150102 09:30:00,25
20150102 10:00:00,25
20150102 10:30:00,25
20150102 11:00:00,25
20150102 11:30:00,25
20150102 12:00:00,25
20150102 12:30:00,25
20150102 13:00:00,25
20150102 13:30:00,25
20150102 14:00:00,25
20150102 14:30:00,25
20150102 15:00:00,25
20150102 15:30:00,25
20150102 16:00:00,23
20150102 16:30:00,23
20150102 17:00:00,23
20150102 17:30:00,24
20150102 18:00:00,23
20150102 18:30:00,23
20150102 19:00:00,23
20150102 19:30:00,23
20150102 21:00:00,22
20150102 21:30:00,23
20150102 23:00:00,22
20150102 23:30:00,23
20150103 00:00:00,23
20150103 00:30:00,23
20150103 01:00:00,24
20150103 01:30:00,25
20150103 02:00:00,26
20150103 02:30:00,27
20150103 03:00:00,27
20150103 03:30:00,27
20150103 04:00:00,29
20150103 04:30:00,29
20150103 05:00:00,28
20150103 05:30:00,28
20150103 06:00:00,30
20150103 06:30:00,29
20150103 07:00:00,30
20150103 07:30:00,29
20150103 08:00:00,30
20150103 08:30:00,29
20150103 09:00:00,28
20150103 09:30:00,28
20150103 10:00:00,28
20150103 10:30:00,27
20150103 11:00:00,27
20150103 11:30:00,27
20150103 12:00:00,26
20150103 12:30:00,26
20150103 13:00:00,26
20150103 13:30:00,26
20150103 14:00:00,26
20150103 14:30:00,25
20150103 15:00:00,25
20150103 15:30:00,25
20150103 16:00:00,25
20150103 16:30:00,25
20150103 17:00:00,25
20150103 17:30:00,25
20150103 18:00:00,25
20150103 18:30:00,24
20150103 19:00:00,24
20150103 19:30:00,24
20150103 20:00:00,24
20150103 20:30:00,24
20150103 21:00:00,24
20150103 21:30:00,23
20150103 22:00:00,23
20150103 22:30:00,23
20150103 23:00:00,23
20150103 23:30:00,23
20150104 00:00:00,23
20150104 00:30:00,24
20150104 01:00:00,24
20150104 01:30:00,26
20150104 02:00:00,26
20150104 02:30:00,26
20150104 03:00:00,27
20150104 03:30:00,28
20150104 04:00:00,28
20150104 04:30:00,28
20150104 05:00:00,29
20150104 05:30:00,29
20150104 06:00:00,28
20150104 06:30:00,27
20150104 07:00:00,26
20150104 07:30:00,26
20150104 08:00:00,26
20150104 08:30:00,26
20150104 09:00:00,26
20150104 09:30:00,26
20150104 10:00:00,26
20150104 10:30:00,26
20150104 11:00:00,25
20150104 11:30:00,25
20150104 12:00:00,25
20150104 12:30:00,25
20150104 13:00:00,25
20150104 13:30:00,24
20150104 14:00:00,24
20150104 14:30:00,24
20150104 15:00:00,24
20150104 15:30:00,24
20150104 16:00:00,24
20150104 16:30:00,24
20150104 17:00:00,24
20150104 17:30:00,24
20150104 18:00:00,24
20150104 18:30:00,24
20150104 19:00:00,24
20150104 19:30:00,24
20150104 20:00:00,24
20150104 20:30:00,24
20150104 21:00:00,24
20150104 21:30:00,24
20150104 22:00:00,24
20150104 22:30:00,24
20150104 23:00:00,24
20150104 23:30:00,24
20150105 00:00:00,24
20150105 00:30:00,24
20150105 01:00:00,24
20150105 01:30:00,26
20150105 02:00:00,26
20150105 02:30:00,27
20150105 03:00:00,28
20150105 03:30:00,28
20150105 04:00:00,29
20150105 04:30:00,29
20150105 05:00:00,30
20150105 05:30:00,30
20150105 06:00:00,30
20150105 06:30:00,30
20150105 07:00:00,31
20150105 07:30:00,31
20150105 08:00:00,31
20150105 08:30:00,31
20150105 09:00:00,31
20150105 09:30:00,30
20150105 10:00:00,30
20150105 10:30:00,29
20150105 11:00:00,28
20150105 11:30:00,28
20150105 12:00:00,27
20150105 12:30:00,27
20150105 13:00:00,27
20150105 13:30:00,26
20150105 14:00:00,26
20150105 14:30:00,26
20150105 15:00:00,26
20150105 15:30:00,26
20150105 16:00:00,26
20150105 16:30:00,25
20150105 17:00:00,25
20150105 17:30:00,25
20150105 18:00:00,25
20150105 18:30:00,25
20150105 19:00:00,25
20150105 19:30:00,25
20150105 20:00:00,25
20150105 20:30:00,24
20150105 21:00:00,24
20150105 21:30:00,24
20150105 22:00:00,24
20150105 22:30:00,24
20150105 23:00:00,24
20150105 23:30:00,24
20150106 00:00:00,24
20150106 00:30:00,25
20150106 01:00:00,26
20150106 01:30:00,27
20150106 02:00:00,27
20150106 02:30:00,27
20150106 03:00:00,29
20150106 03:30:00,30
20150106 04:00:00,30
20150106 04:30:00,30
20150106 05:00:00,31
20150106 05:30:00,31
20150106 06:00:00,31
20150106 06:30:00,31
20150106 07:00:00,31
20150106 07:30:00,31
20150106 08:00:00,
20150106 08:30:00,31
20150106 09:00:00,30
20150106 09:30:00,30
20150106 10:00:00,29
20150106 10:30:00,29
20150106 11:00:00,28
20150106 11:30:00,27
20150106 12:00:00,27
20150106 12:30:00,27
20150106 13:00:00,27
20150106 13:30:00,27
20150106 14:00:00,27
20150106 14:30:00,27
20150106 15:00:00,26
20150106 15:30:00,26
20150106 16:00:00,25
20150106 16:30:00,25
20150106 17:00:00,25
20150106 17:30:00,25
20150106 18:00:00,25
20150106 18:30:00,25
20150106 19:00:00,24
20150106 19:30:00,24
20150106 20:00:00,24
20150106 21:30:00,24
20150106 22:00:00,24
20150106 23:00:00,24
20150106 23:30:00,24
20150107 00:00:00,24
20150107 00:30:00,24
20150107 01:00:00,25
20150107 01:30:00,26
20150107 02:00:00,26
20150107 02:30:00,27
20150107 03:00:00,28
20150107 03:30:00,29
20150107 04:00:00,30
20150107 04:30:00,29
20150107 05:00:00,29
20150107 05:30:00,29
20150107 06:00:00,28
20150107 06:30:00,29
20150107 07:00:00,29
20150107 07:30:00,29
20150107 08:00:00,30
20150107 08:30:00,28
20150107 09:00:00,28
20150107 09:30:00,28
20150107 10:00:00,27
20150107 10:30:00,27
20150107 11:00:00,27
20150107 11:30:00,27
20150107 12:00:00,26
20150107 12:30:00,26
20150107 13:00:00,25
20150107 13:30:00,25
20150107 14:00:00,25
20150107 14:30:00,25
20150107 15:00:00,24
20150107 15:30:00,24
20150107 16:00:00,24
20150107 16:30:00,24
20150107 17:00:00,24
20150107 17:30:00,24
20150107 18:30:00,24
20150107 21:00:00,24
20150107 21:30:00,24
20150107 23:00:00,24
20150107 23:30:00,24
20150108 00:00:00,24
20150108 00:30:00,25
20150108 01:00:00,27
20150108 01:30:00,28
20150108 02:00:00,28
20150108 02:30:00,29
20150108 03:00:00,29
20150108 03:30:00,30
20150108 04:00:00,30
20150108 04:30:00,30
20150108 05:00:00,26
20150108 05:30:00,28
20150108 06:00:00,29
20150108 06:30:00,29
20150108 07:00:00,29
20150108 07:30:00,29
20150108 08:00:00,29
20150108 08:30:00,29
20150108 09:00:00,29
20150108 09:30:00,28
20150108 10:00:00,28
20150108 10:30:00,
20150108 11:00:00,27
20150108 11:30:00,27
20150108 12:00:00,27
20150108 12:30:00,27
20150108 13:00:00,26
20150108 13:30:00,26
20150108 14:00:00,26
20150108 14:30:00,26
20150108 15:00:00,26
20150108 15:30:00,26
20150108 16:00:00,26
20150108 16:30:00,25
20150108 17:00:00,25
20150108 17:30:00,25
20150108 18:00:00,25
20150108 18:30:00,25
20150108 19:00:00,25
20150108 19:30:00,25
20150108 20:00:00,24
20150108 20:30:00,24
20150108 21:00:00,25
20150108 21:30:00,25
20150108 22:00:00,25
20150108 22:30:00,25
20150108 23:00:00,25
20150108 23:30:00,26
20150109 00:00:00,25
20150109 00:30:00,26
20150109 01:00:00,27
20150109 01:30:00,28
20150109 02:00:00,28
20150109 02:30:00,28
20150109 03:00:00,29
20150109 03:30:00,29
20150109 04:00:00,29
20150109 04:30:00,29
20150109 05:00:00,31
20150109 05:30:00,30
20150109 06:00:00,30
20150109 06:30:00,31
20150109 07:00:00,31
20150109 07:30:00,31
20150109 08:00:00,31
20150109 08:30:00,31
20150109 09:00:00,29
20150109 10:00:00,29
20150109 10:30:00,28
20150109 11:00:00,28
20150109 11:30:00,27
20150109 12:00:00,27
20150109 12:30:00,27
20150109 13:00:00,27
20150109 13:30:00,27
20150109 14:00:00,26
20150109 15:00:00,26
20150109 16:00:00,25
20150109 16:30:00,25
20150109 17:00:00,25
20150109 17:30:00,24
20150109 18:00:00,24
20150109 18:30:00,24
20150109 19:00:00,24
20150109 19:30:00,24
20150109 20:00:00,24
20150109 20:30:00,24
20150109 21:00:00,24
20150109 21:30:00,24
20150109 22:30:00,24
20150109 23:00:00,24
20150109 23:30:00,24
20150110 00:00:00,25
20150110 00:30:00,25
20150110 01:00:00,25
20150110 01:30:00,27
20150110 02:00:00,27
20150110 02:30:00,28
20150110 03:00:00,29
20150110 03:30:00,29
20150110 04:00:00,29
20150110 04:30:00,29
20150110 05:00:00,29
20150110 05:30:00,30
20150110 06:00:00,29
20150110 06:30:00,29
20150110 07:00:00,29
20150110 07:30:00,29
20150110 08:00:00,28
20150110 08:30:00,27
20150110 09:00:00,27
20150110 09:30:00,28
20150110 10:00:00,28
20150110 10:30:00,27
20150110 11:00:00,27
20150110 11:30:00,27
20150110 12:00:00,27
20150110 12:30:00,26
20150110 13:00:00,26
20150110 13:30:00,26
20150110 14:00:00,26
20150110 14:30:00,26
20150110 15:00:00,26
20150110 15:30:00,25
20150110 16:00:00,25
20150110 16:30:00,25
20150110 17:00:00,24
20150110 17:30:00,24
20150110 18:00:00,24
20150110 18:30:00,24
20150110 19:00:00,24
20150110 19:30:00,23
20150110 20:00:00,23
20150110 20:30:00,23
20150110 21:00:00,23
20150110 21:30:00,24
20150110 22:00:00,24
20150110 22:30:00,24
20150110 23:00:00,24
20150110 23:30:00,24
20150111 00:00:00,24
20150111 00:30:00,25
20150111 01:00:00,25
20150111 01:30:00,26
20150111 02:00:00,26
20150111 02:30:00,27
20150111 03:00:00,27
20150111 03:30:00,28
20150111 04:00:00,29
20150111 04:30:00,29
20150111 05:00:00,30
20150111 05:30:00,31
20150111 06:00:00,31
20150111 06:30:00,31
20150111 07:00:00,31
20150111 07:30:00,30
20150111 08:00:00,31
20150111 08:30:00,30
20150111 09:00:00,30
20150111 09:30:00,29
